dataset,model,hardware,prompt_strategy,sample_size,accuracy,mean_energy_j,median_energy_j,std_energy_j,mean_ttft_ms,mean_total_latency_ms,mean_input_tokens,mean_output_tokens,measurement_method
gsm8k,gemma3:4b,unknown,ctx_0,47,0.8085106382978723,7231.026808510638,6866.3374,2627.931665255193,7928.104042553192,72224.86744680851,143.06382978723406,307.93617021276594,codecarbon_estimated
gsm8k,gemma3:4b,unknown,ctx_1024,50,0.82,11413.882596,11013.88025,2725.849853021123,61462.9688,112578.29899999998,1175.34,214.64,codecarbon_estimated
gsm8k,gemma3:4b,unknown,ctx_2048,50,0.76,18199.796754,17360.7319,3022.9021215034722,127782.3452,178590.9866,2363.24,217.72,codecarbon_estimated
gsm8k,gemma3:4b,unknown,ctx_4096,50,0.76,17046.638946,16393.114999999998,3395.31560289365,113368.71139999999,166693.3072,2051.0,220.78,codecarbon_estimated
gsm8k,gemma3:4b,unknown,ctx_512,50,0.74,9388.636676,8689.46745,3299.0896783617172,29652.9784,92549.6678,610.74,283.02,codecarbon_estimated
gsm8k,gemma3:4b,unknown,few_shot_3,51,0.17647058823529413,803.7641137254903,806.5384,122.77614705237606,13289.884705882348,13946.490980392155,323.4901960784314,5.411764705882353,codecarbon_estimated
gsm8k,gemma3:4b,unknown,long_cot,51,0.8627450980392157,3863.7429058823527,2947.3805,2341.923077491892,6141.931568627452,64258.08176470588,146.49019607843138,406.921568627451,codecarbon_estimated
gsm8k,gemma3:4b,unknown,short_cot,51,0.7647058823529411,1378.890688235294,1236.5686,704.8074734335652,5951.8341176470585,24386.94705882353,145.49019607843138,135.7450980392157,codecarbon_estimated
gsm8k,gemma3:4b,unknown,zero_shot_cot,51,0.803921568627451,2842.196321568628,2781.6076,1079.6687515432136,5901.311372549021,48068.63823529412,142.49019607843138,303.70588235294116,codecarbon_estimated
gsm8k,gemma3:4b,unknown,zero_shot_direct,51,0.0784313725490196,314.4448254901961,292.638,100.33401986449931,5532.6370588235295,6949.15568627451,132.49019607843138,11.27450980392157,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,ctx_0,2,0.0,3110.66775,3110.66775,350.36555,2476.945,58691.03,127.5,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,ctx_1024,2,0.0,7648.3187,7648.3187,503.5659999999998,22867.495000000003,79409.67,1219.5,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,ctx_512,2,0.0,5640.2797,5640.2797,788.1855999999998,9989.835,66742.475,492.5,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,few_shot_3,52,0.0,3189.1123173076926,3264.776,485.9006525590758,6530.335769230768,32164.07538461538,325.0192307692308,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,long_cot,52,0.0,3073.1539461538464,3040.98945,129.0915400746806,2199.7201923076927,60586.24923076922,146.01923076923077,1024.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,rag_top_1,1,0.0,1182.2078,1182.2078,0.0,7542.05,34191.5,356.0,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,short_cot,52,0.0,4808.592669230769,5192.80415,1247.536584918371,3096.3057692307684,49200.752499999995,145.01923076923077,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,zero_shot_cot,52,0.0,5374.1850403846165,5455.636399999999,668.0803234299304,3140.608269230769,53364.632115384615,141.01923076923077,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,unknown,zero_shot_direct,52,0.0,2315.322569230769,2876.3331,944.4126891967591,2907.8853846153847,26691.09384615385,133.01923076923077,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,ctx_0,11,0.0,4516.266954545455,4420.42,455.1150215833864,2297.6209090909088,47012.117272727264,141.36363636363637,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,ctx_1024,11,0.0,6904.688581818183,6919.001,353.9845505585977,23650.576363636363,69240.15636363636,1259.090909090909,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,ctx_2048,11,0.0,8413.789109090909,8356.5844,470.0130647258293,36921.24272727273,84050.34545454544,2451.2727272727275,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,ctx_4096,11,0.0,9058.682327272727,9066.333,207.24961580825484,43474.52545454545,90121.28000000001,2050.0,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,ctx_512,11,0.0,5672.3174,5649.8902,411.4152530770253,11717.838181818182,57436.46727272726,575.4545454545455,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,ctx_8192,10,0.0,8958.45794,8998.5457,69.53590029794984,44011.74399999999,88498.274,2050.0,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,few_shot_3,172,0.0,2415.29719127907,2257.2806,403.7969061863842,3458.1372093023256,25721.761569767437,325.5348837209302,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,long_cot,62,0.0,9387.48855,9335.4377,503.68204468482395,3184.693548387097,93581.92499999999,144.66129032258064,1024.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,rag_top_1,10,0.0,2835.0671,2807.6647,112.04785953352248,8277.135999999999,29360.682,395.2,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,rag_top_3,10,0.0,3709.8963200000007,3671.851,268.0635051872255,17031.892,38124.858,813.6,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,rag_top_5,10,0.0,4125.59992,4198.2153,157.05716768572375,20214.824,42205.52,1241.4,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,short_cot,172,0.0,5011.372765697674,4846.68375,574.0062577711093,2904.876162790698,50162.070639534875,145.53488372093022,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,zero_shot_cot,172,0.0,4756.651323837209,4785.4827000000005,361.4487031028199,2776.067093023256,48189.69098837209,141.53488372093022,512.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b,windows_10core_pc,zero_shot_direct,187,0.0,1974.3278315508019,2096.855,447.17445208698297,1347.1738502673797,23210.56893048128,133.475935828877,256.0,codecarbon_estimated
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,ctx_0,40,0.0,33.359159999999996,32.815799999999996,2.948110755450005,373.832,22096.251,143.25,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,ctx_1024,40,0.0,98.83670500000001,81.39175,40.47354248935315,6725.004999999999,60613.600500000015,1216.3,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,ctx_2048,40,0.0,88.915545,84.94505000000001,24.128457006561256,10022.4515,49544.0305,2381.85,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,ctx_4096,40,0.0,92.872695,86.04135,21.28779068800882,14902.068,41470.728500000005,4644.5,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,ctx_512,40,0.0,45.121385,45.74635,7.100230900560558,2534.6595,27989.589,587.75,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,ctx_8192,40,0.0,152.873985,143.8813,39.47726018427919,30544.402000000002,58059.27,9405.3,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,few_shot_3,40,0.0,11.639144444444446,9.87725,7.621250038341057,1373.325,16738.5985,327.25,256.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,long_cot,40,0.0,77.286405,76.6318,6.658739469259554,554.7945,49329.298,148.25,1024.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,rag_top_1,40,0.0,28.51332,27.9566,2.65532397017765,1066.0375,9386.798499999999,385.55,256.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,rag_top_3,40,0.0,31.254319999999996,31.0443,1.574451452284255,2098.8995,10204.9795,868.6,256.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,rag_top_5,40,0.0,35.768695,35.4335,2.483574751940235,2821.943,10969.2695,1330.25,256.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,short_cot,40,0.0,38.375385,37.7345,4.8874648754006405,735.6959999999999,28229.961,147.25,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,zero_shot_cot,40,0.0,47.42901500000001,46.5707,10.095100178862763,1116.9669999999999,35498.6025,143.25,512.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,zero_shot_direct,80,0.0,27.8531975,25.836750000000002,7.48120891756431,392.229,8218.242,135.25,256.0,apple_powermetrics
gsm8k,qwen3.5:0.8b-mlx,unknown,few_shot_3,146,0.0136986301369863,nan,nan,nan,1618.911301369863,10472.888356164383,306.36301369863014,225.31506849315068,apple_estimated
gsm8k,qwen3.5:0.8b-mlx,unknown,long_cot,142,0.014084507042253521,182.5982528169014,111.22895,165.32813125952754,1537.6805633802817,26706.21316901409,127.84507042253522,695.887323943662,apple_estimated
gsm8k,qwen3.5:0.8b-mlx,unknown,short_cot,143,0.013986013986013986,177.84956573426572,70.2919,819.9038627780724,2935.771328671329,16603.467202797205,132.5874125874126,375.94405594405595,apple_estimated
gsm8k,qwen3.5:0.8b-mlx,unknown,zero_shot_cot,145,0.013793103448275862,nan,nan,nan,1039.1482068965518,15604.82372413793,125.68275862068965,384.88275862068963,apple_estimated
gsm8k,qwen3.5:0.8b-mlx,unknown,zero_shot_direct,171,0.029239766081871343,nan,nan,nan,7368.708128654971,17292.47543859649,375.7953216374269,266.99415204678365,apple_estimated
