prompt_strategy,model,hardware,accuracy,mean_energy_j,mean_latency_ms,pareto_optimal
ctx_0,gemma3:4b,unknown,0.8085106382978723,7231.026808510638,72224.86744680851,False
ctx_512,gemma3:4b,unknown,0.74,9388.636676,92549.6678,False
ctx_1024,gemma3:4b,unknown,0.82,11413.882596,112578.29899999998,False
ctx_2048,gemma3:4b,unknown,0.76,18199.796754,178590.9866,False
ctx_4096,gemma3:4b,unknown,0.76,17046.638946,166693.3072,False
zero_shot_direct,gemma3:4b,unknown,0.0784313725490196,314.4448254901961,6949.15568627451,True
few_shot_3,gemma3:4b,unknown,0.17647058823529413,803.7641137254903,13946.490980392155,True
zero_shot_cot,gemma3:4b,unknown,0.803921568627451,2842.196321568628,48068.63823529412,True
short_cot,gemma3:4b,unknown,0.7647058823529411,1378.890688235294,24386.94705882353,True
long_cot,gemma3:4b,unknown,0.8627450980392157,3863.7429058823527,64258.08176470588,True
ctx_0,qwen3.5:0.8b,unknown,0.0,3110.66775,58691.03,False
ctx_512,qwen3.5:0.8b,unknown,0.0,5640.2797,66742.475,False
ctx_1024,qwen3.5:0.8b,unknown,0.0,7648.3187,79409.67,False
zero_shot_direct,qwen3.5:0.8b,unknown,0.0,2315.322569230769,26691.09384615385,True
few_shot_3,qwen3.5:0.8b,unknown,0.0,3189.1123173076926,32164.07538461538,False
zero_shot_cot,qwen3.5:0.8b,unknown,0.0,5374.1850403846165,53364.632115384615,False
short_cot,qwen3.5:0.8b,unknown,0.0,4808.592669230769,49200.752499999995,False
long_cot,qwen3.5:0.8b,unknown,0.0,3073.1539461538464,60586.24923076922,False
rag_top_1,qwen3.5:0.8b,unknown,0.0,1182.2078,34191.5,True
zero_shot_direct,qwen3.5:0.8b-mlx,unknown,0.029239766081871343,nan,17292.47543859649,True
few_shot_3,qwen3.5:0.8b-mlx,unknown,0.0136986301369863,nan,10472.888356164383,True
zero_shot_cot,qwen3.5:0.8b-mlx,unknown,0.013793103448275862,nan,15604.82372413793,True
short_cot,qwen3.5:0.8b-mlx,unknown,0.013986013986013986,177.84956573426572,16603.467202797205,True
long_cot,qwen3.5:0.8b-mlx,unknown,0.014084507042253521,182.5982528169014,26706.21316901409,True
